dtlr_key,dtlr_code,store_long,store_short,store_address,store_city,store_state,store_zip,store_phone,region_key,speed_dial,reg_dm_key
3049,3049,Gateway Center,Gateway Center,1751A W. Howard St,Chicago,IL,60626,P: 773-274-5839,Chicago West,3049,Anthony Tolbert
3050,3050,Winston Plaza,Winston Plaza,1184 Winston Plaza,Melrose Park,IL,60160,P: 708-681-6270,Chicago West,3050,Anthony Tolbert
3051,3051,Chatham Ridge,Chatham Ridge,"112 W. 87th Street, L-5",Chicago,IL,60620,P: 773-783-2139,Chicago South,3051,Henry Tunstall
3052,3052,Thruway Plaza,Thruway Plaza,160 Thruway Plaza Drive,Cheektowaga,NY,14225,P: 716-896-2703,Western NY,3052,Rickey Hunley
3053,3053,Arlington Plaza,Arlington Plaza,1400 S. Arlington St. ,Akron,OH,44306,P: 330-785-9153,Pittsburg/Ohio,3053,Edward Hrabik
3054,3054,Redford Plaza,Redford Plaza,9355 Telegraph Rd,Redford Charter Township,MI,48239,P: 313-538-4118,Detroit West,3054,Michael Arnold
3055,3055,Riverbend Plaza,Riverbend Plaza,13328 E. Jefferson Ave.,Detroit,MI,48215,P: 313-822-1369,Detroit East,3055,Brian Arscott
3056,3056,7th And Gratiot,7th And Gratiot,14119-27 Seven Mile Rd,Detroit,MI,48205,P: 313-245-0338,Detroit East,3056,Brian Arscott
3057,3057,Belmont Plaza,Belmont Plaza,2000 East Eight Mile Rd,Detroit,MI,48234,P: 313-368-1348,Detroit East,3057,Brian Arscott
3058,3058,Oakland Pointe,Oakland Pointe,354 N. Telegraph Rd,Waterford Pontiac,MI,48341,P: 248-333-2176,Detroit West,3058,Michael Arnold
3059,3059,Southwind Plaza,Southwind Plaza,"3525 Martin Luther King Blvd, Suite F",Lansing,MI,48910,P: 517-394-1655,Detroit West,3059,Michael Arnold
3061,3061,69th Street    ,69th Street    ,28 South 69th St,Upper Darby,PA,19082,P: 610-352-2469,Philadelphia,3061,Jermaine Williams
3062,3062,63rd and Halsted,63rd and Halsted,850 W. 63 St,Chicago,IL,60621,P: 773-783-3581,Chicago South,3062,Henry Tunstall
3063,3063,Kedzie Plaza,Kedzie Plaza,800 N. Kedzie Avenue,Chicago,IL,60651,P: 773-826-2041,Chicago West,3063,Anthony Tolbert
3064,3064,Chatham Village,Chatham Village,712 E. 87th Street Unit D2-A,Chicago,IL,60619,P: 773-874-4980,Chicago South,3064,Henry Tunstall
3065,3065,Crossroads Mall,Crossroads Mall,6650 S Westnedge Ave. ,Kalamazoo,MI,49024,P: 269-329-1536,Detroit West,3065,Michael Arnold
3066,3066,South St,South St,608 South Street,Philadelphia,PA,19147,P: 215-574-4980,Philadelphia,3066,Jermaine Williams
3067,3067,91st & Commercial,91st & Commercial,9059 S. Commercial ,Chicago,IL,60617,P: 773-768-8048,Chicago South,3067,Henry Tunstall
3068,3068,Lincoln Center,Lincoln Center,26196 Greenfield Road,Oak Park,MI,48237,P: 248-569-4512,Detroit East,3068,Brian Arscott
3069,3069,Capital City Mall,Capital City Mall,3506 Capital City Mall Drive,Camp Hill,PA,17011,P: 717-761-3523,Central PA,3069,Winston Horshaw
3070,3070,Berkshire Mall,Berkshire Mall,1665 State Hill Road,Wyomissing,PA,19610,P: 610-374-1426,Central PA,3070,Winston Horshaw
3071,3071,Harper Court,Harper Court,"5230 South Lake Park Ave, Space #5,",Chicago,IL,60615,P: 773-947-6023,Chicago South,3071,Henry Tunstall
3072,3072,Model T Plaza,Model T Plaza,14122 Woodward Ave.,Highland Park,MI,48203,P: 313-867-4521,Detroit East,3072,Brian Arscott
3073,3073,Yards Plaza,Yards Plaza,4628 S. Damen Ave,Chicago,IL,60609,P: 773-847-3970,Chicago South,3073,Henry Tunstall
3075,3075,Waukegan Plaza,Waukegan Plaza,1517 N. Lewis Ave,Waukegan,IL,60085,P: 847-599-0815,Chicago West,3075,Anthony Tolbert
3077,3077,Jeffery Plaza,Jeffery Plaza,"2101 East 71st St, Suite B4",Chicago,IL,60649,P: 773-643-9461,Chicago South,3077,Henry Tunstall
3078,3078,Marshfield Plaza,Marshfield Plaza,1732 W. 119th St ,Chicago,IL,60643,P: 773-468-1462,Chicago South,3078,Henry Tunstall
3079,3079,Washington Square,Washington Square,1506 N. Cicero,Chicago,IL,60651,P: 773-278-3614  ,Chicago West,3079,Anthony Tolbert
3080,3080,Broadway Shopping Center,Broadway Shopping,509 W. Broadway Ave,Minneapolis,MN,55411,P: 612-529-4706,Minnesota,3080,Raymond Maunu
3081,3081,Chesnut Street,Chesnut Street,1416 Chestnut Street,Philadelphia,PA,19102,P: 215-575-0483 ,Philadelphia,3081,Jermaine Williams
3082,3082,Lakeview Square Mall,Lakeview Square Mall,5775 Beckley Road,Battle Creek,MI,49015,P: 269-979-4572 ,Detroit West,3082,Michael Arnold
3083,3083,West Allis Town Center,West Allis,6724 W. Greenfield Ave,West Allis,WI,53214,P: 414-257-2478 ,Chicago West,3083,Anthony Tolbert
3084,3084,Penn Mart,Penn Mart,3 Penn Mart Shopping Center,New Castle,DE,19720,P: 302-322-9250,NJ/DE,3084,Tamyra Washington
3085,3085,Union Square,Union Square,"3849 Union Deposit Road, Unit B",Harrisburg,PA,17109,P: 717-564-1061,Central PA,3085,Winston Horshaw
3086,3086,Church Square Mall,Church Square Mall,7905 Euclid Ave,Cleveland,OH,44103,P: 216-721-0156,Cleveland,3086,Willie James
3087,3087,Market Place Mall,Market Place Mall,"510 Miracle Mile Drive, Space # E3A",Rochester,NY,14623,P: 585-272-8375 ,Western NY,3087,Rickey Hunley
3088,3088,Greece Ridge Mall,Greece Ridge Mall,"210 Greece Ridge Center Drive, Space B1B",Rochester,NY,14626,P: 585-227-5409 ,Western NY,3088,Rickey Hunley
3089,3089,Park City Mall,Park City Mall,284 Park City Center,Lancaster,PA,17601,P: 717-209-7105,Central PA,3089,Winston Horshaw
3090,3090,Starlite Center,Starlite Center,7641 W. Broadway Ave,Brooklyn Park,MN,55428,P: 763-424-0287,Minnesota,3090,Raymond Maunu
3091,3091,Westport Commons,Westport Commons,3302 West 87th Street,Chicago,IL,60652,P: 773-436-3078 ,Chicago South,3091,Henry Tunstall
3092,3092,Dorr Street,Dorr Street,539 Dorr Street,Toledo,OH,43604,P: 419-244-8770,Detroit East,3092,Brian Arscott
3093,3093,Southgate USA,Southgate USA,21658 Libby Road ,Maple Heights,OH,44137,P: 216-332-9518,Cleveland,3093,Willie James
3094,3094,Belmont Ave,Belmont Ave,3620 Belmont Ave.,Youngstown,OH,44505,P: 330-759-4840,Pittsburg/Ohio,3094,Edward Hrabik
3095,3095,Severance Commons,Severance Commons,3580 Mayfield Road,Cleveland,OH,44118,P: 216-691-3832,Cleveland,3095,Willie James
3096,3096,Midway Center,Midway Center,1515 University Avenue West,Saint Paul,MN,55104,P: 651-645-1268,Minnesota,3096,Raymond Maunu
3097,3097,Steelyard Commons,Steelyard Commons,3348 Steelyard Drive,Cleveland,OH,44109,P: 216-741-1820,Cleveland,3097,Willie James
3098,3098,Wharton Square,Wharton Square,2023 Wharton St.,Pittsburgh,PA,15203,P: 412-381-5648,Pittsburg/Ohio,3098,Edward Hrabik
3099,3099,Hawthorne Works,Hawthorne Works,4723 Cermak Road,Cicero,IL,60804,P: 708-656-3023,Chicago West,3099,Anthony Tolbert
3100,3100,Lehigh Valley Mall,Lehigh Valley Mall,166 Lehigh Valley Mall,Whitehall,PA,18052,P: 610-266-1893,Central PA,3100,Winston Horshaw
3101,3101,Mall of America,Mall of America,244 North Garden,Bloomington,MN,55425,P: 952-854-9114,Minnesota,3101,Raymond Maunu
3102,3102,Pullman Park,Pullman Park,10824 South Doty Ave.,Chicago,IL,60628,P: 773-468-5837,Chicago South,3102,Henry Tunstall
3103,3103,Governors Shopping Center,Governors Shopping Center,611 Governors Place,Bear,DE,19701,P: 302-834-1379,NJ/DE,3103,Tamyra Washington
4104,4104,Torre Vista ,Torre Vista ,10325 Lake June Road,Dallas,TX,75217,P: 972-329-1062 ,Dallas TX,4104,Marcelino Colon
4105,4105,Cooper Street Commons,Cooper Street Commons,1030 W. Arkansas Lane,Arlington,TX,76013,P: 817-459-2645,Ft. Worth TX,4105,Travis Towery
4106,4106,Trinity Mills (DK),Trinity Mills (DK),"3427 E. Trinity Mills Rd., Suite #900",Dallas,TX,75287,P: 972-306-9105,Dallas TX,4106,Marcelino Colon
4107,4107,Denton (DK),Denton (DK),"2520 West University Dr., Suite #1160",Denton,TX,76201,P: 940-381-2416,Dallas TX,4107,Marcelino Colon
3108,3108,Shingle Creek Crossing,Shingle Creek Crossing,1300 Shingle Creek Crossing,Brooklyn Center,MN,55430,P: 763-560-9537,Minnesota,3108,Raymond Maunu
3109,3109,Fulton Street,Fulton Street,4 East Fulton Street,Grand Rapids,MI,49503,P: 616-458-3930,Detroit West,3109,Michael Arnold
3110,3110,Muhlenberg Shopping Center,Muhlenberg Center,3262 N 5th St Highway,Reading,PA,19605,P: 610-929-2431,Central PA,3110,Winston Horshaw
4111,4111,Downtown Dallas (DK),Downtown Dallas (DK),"5334 A-Ross Ave., Suite #875",Dallas,TX,75206,P: 214-826-8811,Dallas TX,4111,Marcelino Colon
4112,4112,Webb Chapel,Webb Chapel,11719 Webb Chapel Road,Dallas,TX,75220,P: 972-241-0682,Dallas TX,4112,Marcelino Colon
4113,4113,Garland,Garland,1104 South First Street,Garland ,TX,75040,P: 972-272-7959,Dallas TX,4113,Marcelino Colon
4116,4116,Cedar Hill/Duncanville(DK),Cedar Hill/Duncanville,"949 North Highway 67, Suite #349",Cedar Hill,TX,75104,P: 469-272-0099,Ft. Worth TX,4116,Travis Towery
4117,4117,Oak Cliff,Oak Cliff,3417 Lancaster Rd,Dallas,TX,75216,P: 214-371-1884 ,Ft. Worth TX,4117,Travis Towery
4118,4118,Fort Worth I-20 (DK),Fort Worth I-20 (DK),7636 McCart Avenue,Fort Worth,TX,76133,P: 817-294-7700,Ft. Worth TX,4118,Travis Towery
4119,4119,Skillman,Skillman,"9203 Skillman Street, Suite 120",Dallas,TX,75243,P: 214-553-4562,Dallas TX,4119,Marcelino Colon
3121,3121,King of Prussia Mall,King of Prussia Mall,"160 N Gulph Road, Space #2022",King of Prussia,PA,19406,P: 610-265-3940,Philadelphia,3121,Jermaine Williams
3122,3122,Christiana Mall,Christiana Mall,435 Christiana Mall,Newark,DE,19702,P: 302-737-7215,NJ/DE,3122,Tamyra Washington
3123,3123,Summit Mall,Summit Mall,3265 W. Market Street Space #656,Fair Lawn,OH,44333,P: 330-835-1438,Pittsburg/Ohio,3123,Edward Hrabik
3124,3124,Robinson Mall,Robinson Mall,100 Robinson Center Drive Suite 1490,Pittsburgh,PA,15205,P: 412-788-1060,Pittsburg/Ohio,3124,Edward Hrabik
3125,3125,Briarwood Mall,Briarwood Mall,100 Briarwood Circle Space #F155,Ann Arbor,MI,48108,P: 734-332-4810,Detroit West,3125,Michael Arnold
3126,3126,Chestnut/ Gallery Relo,Chestnut/Gallery,1217 Chestnut Street,Philadelphia,PA,19107,P: 215-665-9720,Philadelphia,3126,Jermaine Williams
3127,3127,Caln Plaza,Caln Plaza,1855 E. Lincoln Highway,Coatesville,PA,19320,P: 610-384-6148,Central PA,3127,Winston Horshaw
3128,3128,Euclid Superior,Euclid Superior,"13464 Euclid Avenue, Suite A",East Cleveland,OH,44112,P: 216-268-5521,Cleveland,3128,Willie James
3129,3129,Ashland and Roosevelt Shopping Center,Ashland and Roosevelt,"1250 S Ashland Ave, Unit C",Chicago,IL,60608,P: 312-733-3945,Chicago West,3129,Anthony Tolbert
3130,3130,Sun Ray Shopping Center,Sun Ray,2119 Old Hudson Rd,St. Paul,MN,55119,P: 651-731-8994,Minnesota,3130,Raymond Maunu
3131,3131,The Crossing,The Crossing,"1001 North Interstate 35E, Space 328-B/330-B",Desoto,TX,75115,P: 972-224-0218,Ft. Worth TX,3131,Travis Towery
3132,3132,Hillcrest Shopping Center,Hillcrest Shopping Center,1701 N Larkin Ave,Crest Hill,IL,60435,P: 815-730-1212,Chicago West,3132,Anthony Tolbert
3133,3133,Lakewest TC,Lakewest TC,"2223 Singleton Blvd, Space 234",Dallas,TX,75212,P: 214-951-9645,Ft. Worth TX,3133,Travis Towery
3136,3136,Wood Creek Village,Wood Creek Village,6759 Bridge Street,Fort Worth,TX,76112,P: 817-457-3647,Ft. Worth TX,3136,Travis Towery
3137,3137,Mill Road Shopping Center,Mill Road Center,6400-46 N 76th Street,Milwaukee,WI,53223,P: 414-760-1698,Chicago West,3137,Anthony Tolbert
3138,3138,Towne Market,Towne Market,3312 N. Buckner Blvd,Dallas,TX,75228,P: 214-660-9880,Dallas TX,3138,Marcelino Colon
3140,3140,Orange Blossom Trail,Orange Blossom Trail,Orange Blossom Trail,Orlando,FL,32809,P: 407-793-6426,Florida,3140,Robert Campbell
